"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"9s1/2","8p3/2","47.9914630","0.0850960","47.991(85)","23909.6540","3.4303","23910(3)","170704.6748","609.811767","1.7070(61)E+05","0.06730935524811238","0.0003588592343919664","0.06731(36)","","","",""
"10s1/2","4p1/2","0.1791112","0.0009208","0.17911(92)","494.3388","0.0000","494.3388","269034.9376","2766.185147","2.690(28)E+05","0.15763444797395038","0.001493103780167145","0.1576(15)","","","",""
"10s1/2","4p3/2","0.2530314","0.0013235","0.2530(13)","495.7531","0.0000","495.7531","532340.8536","5568.898720","5.323(56)E+05","0.3119121157452146","0.002385605952819592","0.3119(24)","","","",""
"10s1/2","5p1/2","0.4303924","0.0022885","0.4304(23)","1174.6955","0.0007","1174.6955(7)","115768.5599","1231.138621","1.158(12)E+05","0.06783175892160327","0.0007276661643939955","0.06783(73)","","","",""
"10s1/2","5p3/2","0.6066012","0.0032909","0.6066(33)","1177.2895","0.0007","1177.2895(7)","228451.5261","2478.765744","2.285(25)E+05","0.13385558965776753","0.0013620512272463892","0.1339(14)","","","",""
"10s1/2","6p1/2","0.9315996","0.0049501","0.9316(50)","2372.5036","0.0281","2372.50(3)","65837.7910","699.668563","6.584(70)E+04","0.03857604490032903","0.00042530511606405144","0.03858(43)","","","",""
"10s1/2","6p3/2","1.3116226","0.0071390","1.3116(71)","2377.2638","0.0283","2377.26(3)","129724.7809","1412.159536","1.297(14)E+05","0.07600906564037786","0.0008250274152393043","0.07601(83)","","","",""
"10s1/2","7p1/2","2.1071945","0.0108159","2.107(11)","4663.4685","0.1305","4663.5(1)","44352.6343","455.325502","4.435(46)E+04","0.02598734230797577","0.00028138850225217104","0.02599(28)","","","",""
"10s1/2","7p3/2","2.9662050","0.0156154","2.966(16)","4673.2756","0.1310","4673.3(1)","87332.4096","919.541325","8.733(92)E+04","0.05117029150883502","0.0005531321746806796","0.05117(55)","","","",""
"10s1/2","8p1/2","6.0258071","0.0265801","6.026(27)","10133.9023","0.6162","10133.9(6)","35345.7843","311.890274","3.535(31)E+04","0.020709998670487777","0.00019860802102833098","0.02071(20)","","","",""
