"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"12s1/2","11p3/2","57.9435120","0.4149030","57.94(41)","31456.0370","4.9829","31456(5)","109278.5485","1565.833785","1.093(16)E+05","0.05892654428986104","0.001070108272180296","0.0589(11)","","","",""
"13s1/2","7p1/2","0.2052792","0.0025928","0.2053(26)","530.1066","0.0002","530.1066(2)","286574.5020","7239.217313","2.866(72)E+05","0.2300798683578257","0.00510314847479222","0.2301(51)","","","",""
"13s1/2","7p3/2","0.2619408","0.0043066","0.2619(43)","582.1555","0.0002","582.1555(2)","352311.3154","11584.784896","3.52(12)E+05","0.28285747860664284","0.007026191078701603","0.2829(70)","","","",""
"13s1/2","8p1/2","0.4673683","0.0048816","0.4674(49)","1251.7871","0.0012","1251.787(1)","112814.3691","2356.662314","1.128(24)E+05","0.09057440565517035","0.0020349866906656544","0.0906(20)","","","",""
"13s1/2","8p3/2","0.5504108","0.0079672","0.5504(80)","1343.5022","0.0013","1343.502(1)","126559.8781","3663.910176","1.266(37)E+05","0.10161015680694276","0.0029012220893893104","0.1016(29)","","","",""
"13s1/2","9p1/2","0.9805481","0.0122866","0.981(12)","2510.4630","0.0317","2510.46(3)","61562.1318","1542.790518","6.16(15)E+04","0.04942591574590363","0.0013201593775995757","0.0494(13)","","","",""
"13s1/2","9p3/2","1.1027846","0.0252223","1.103(25)","2677.1332","0.0361","2677.13(4)","64210.9009","2937.195967","6.42(29)E+04","0.051552512637146664","0.0023193699155531922","0.0516(23)","","","",""
"13s1/2","10p1/2","2.1801888","0.0317018","2.180(32)","4908.3151","0.1213","4908.3(1)","40721.9162","1184.266464","4.07(12)E+04","0.032694091980520604","0.001001266515312101","0.0327(10)","","","",""
"13s1/2","10p3/2","2.4169811","0.0673070","2.417(67)","5253.6212","0.1390","5253.6(1)","40813.8492","2273.133651","4.08(23)E+04","0.032767901472455715","0.0018085156645071786","0.0328(18)","","","",""
"13s1/2","11p1/2","6.1787494","0.0876151","6.179(88)","10632.9927","0.5694","10633.0(6)","32171.5458","912.404189","3.217(91)E+04","0.025829321745860383","0.0007792726585107107","0.02583(78)","","","",""
"13s1/2","11p3/2","7.1242699","0.2058265","7.12(21)","11628.7318","0.6810","11628.7(7)","32697.9839","1889.356466","3.27(19)E+04","0.026251979120087802","0.0015105561154745502","0.0263(15)","","","",""
"13s1/2","12p1/2","47.2835310","0.3964470","47.28(40)","38379.0236","7.4176","38379(7)","40065.9412","672.264280","4.007(67)E+04","0.03216743436336053","0.0006520404510584196","0.03217(65)","","","",""
"13s1/2","12p3/2","77.4883910","0.6067280","77.49(61)","47989.4807","11.5976","47990(10)","55039.2423","862.829089","5.504(86)E+04","0.044188933508083166","0.0008517093351728511","0.04419(85)","","","",""
"14s1/2","7p1/2","0.1666633","0.0020933","0.1667(21)","519.9111","0.0002","519.9111(2)","200230.3440","5029.807754","2.002(50)E+05","0.2287734510067245","0.005060371487199878","0.2288(51)","","","",""
"14s1/2","7p3/2","0.2120212","0.0035094","0.2120(35)","569.8828","0.0002","569.8828(2)","246058.9638","8145.594196","2.461(81)E+05","0.2811350027657569","0.007037820979529773","0.2811(70)","","","",""
"14s1/2","8p1/2","0.3635668","0.0037440","0.3636(37)","1196.3862","0.0011","1196.386(1)","78197.2655","1610.546204","7.82(16)E+04","0.0893443917600847","0.001988532440152483","0.0893(20)","","","",""
"14s1/2","8p3/2","0.4259753","0.0061813","0.4260(62)","1279.8920","0.0012","1279.892(1)","87677.0913","2544.553202","8.77(25)E+04","0.10017557953417262","0.002869460118362531","0.1002(29)","","","",""
"14s1/2","9p1/2","0.7088583","0.0089585","0.7089(90)","2297.1317","0.0266","2297.13(3)","41995.0876","1061.462769","4.20(11)E+04","0.04798154429450417","0.0012915318780960003","0.0480(13)","","","",""
"14s1/2","9p3/2","0.7892835","0.0182083","0.789(18)","2435.8963","0.0299","2435.90(3)","43664.3449","2014.621476","4.37(20)E+04","0.04988875651303712","0.0022661593296629456","0.0499(23)","","","",""
"14s1/2","10p1/2","1.3796748","0.0207729","1.380(21)","4154.0574","0.0869","4154.06(9)","26901.3023","810.073904","2.690(81)E+04","0.03073611938483042","0.0009709970678460679","0.03074(97)","","","",""
"14s1/2","10p3/2","1.4953353","0.0428008","1.495(43)","4398.7464","0.0974","4398.7(1)","26615.0767","1523.601219","2.66(15)E+04","0.03040909198331067","0.0017268380225973106","0.0304(17)","","","",""
"14s1/2","11p1/2","2.9341286","0.0483147","2.934(48)","7631.2867","0.2933","7631.3(3)","19624.6664","646.301378","1.962(65)E+04","0.022422189187822808","0.0007711828935277738","0.02242(77)","","","",""
"14s1/2","11p3/2","3.1724136","0.1029866","3.17(10)","8130.9737","0.3329","8131.0(3)","18966.5895","1231.433418","1.90(12)E+04","0.02167030253836229","0.001401001665101062","0.0217(14)","","","",""
"14s1/2","12p1/2","8.0935681","0.1239333","8.09(12)","15860.8056","1.2668","15861(1)","16631.8913","509.369475","1.663(51)E+04","0.019002789951915084","0.0006155512516421525","0.01900(62)","","","",""
"14s1/2","12p3/2","9.1919770","0.2919962","9.19(29)","17291.9134","1.5058","17292(2)","16554.8790","1051.787363","1.66(11)E+04","0.018914799456951525","0.0012008690382746125","0.0189(12)","","","",""
"14s1/2","13p1/2","61.1197600","0.5502360","61.12(55)","55634.3709","15.5869","55630(20)","21977.1335","396.133053","2.198(40)E+04","0.025110003716943996","0.0005359404382909148","0.02511(54)","","","",""
"14s1/2","13p3/2","99.8121320","0.8286380","99.81(83)","69442.0333","24.2840","69440(20)","30139.5449","501.433530","3.014(50)E+04","0.03443597790558322","0.0006927587974198525","0.03444(69)","","","",""
"7p1/2","7s1/2","4.277","0.008","4.277(8)","817.1664","0.0002","817.1664(2)","33961294.6520","127047.164781","3.396(13)E+07","1.0","0.0","1.0","J. E. Simsarian, L. A. Orozco, G. D. Sprouse, and W. Z. Zhao, Phys. Rev. A 57, 2448 (1998)","https://doi.org/10.1103/PhysRevA.57.2448","",""
"7p3/2","7s1/2","5.898","0.015","5.898(15)","718.1845","0.0001","718.1845(1)","47567322.7781","241949.761544","4.757(24)E+07","1.0","0.0","1.0","J. E. Simsarian, L. A. Orozco, G. D. Sprouse, and W. Z. Zhao, Phys. Rev. A 57, 2448 (1998)","https://doi.org/10.1103/PhysRevA.57.2448","",""
"8p1/2","7s1/2","0.3277049","0.0325164","0.328(33)","432.6577","0.0001","432.6577(1)","1343290.3190","266574.990666","1.34(27)E+06","0.1738333044096435","0.03081679051172247","0.174(31)","","","",""
"8p1/2","8s1/2","10.0923700","0.0167440","10.092(17)","2964.7374","0.0267","2964.74(3)","3959724.1968","13139.396423","3.960(13)E+06","0.5124223199795875","0.038812010787605385","0.512(39)","","","",""
"8p1/2","6d3/2","2.7090224","0.2910290","2.71(29)","1452.8359","0.0064","1452.836(6)","2424447.8573","520914.582915","2.42(52)E+06","0.3137443756107689","0.04751329249583031","0.314(48)","","","",""
"8p3/2","7s1/2","0.9316865","0.0495250","0.932(50)","422.6845","0.0001","422.6845(1)","5822343.9198","618988.431476","5.82(62)E+06","0.45286028742536877","0.02877957170449082","0.453(29)","","","",""
"8p3/2","8s1/2","13.3603290","0.0325310","13.360(33)","2552.1103","0.0197","2552.11(2)","5439303.8392","26488.568717","5.439(26)E+06","0.4230675367124295","0.023082416116627716","0.423(23)","","","",""
"8p3/2","6d3/2","0.8647194","0.1207817","0.86(12)","1346.1784","0.0055","1346.178(5)","155256.5312","43371.636605","1.55(43)E+05","0.01207580972678569","0.0033968754233839956","0.0121(34)","","","",""
"8p3/2","6d5/2","2.7433289","0.3097321","2.74(31)","1383.3811","0.0058","1383.381(6)","1439917.2979","325144.104451","1.44(33)E+06","0.11199636613541593","0.023099764821539887","0.112(23)","","","",""
"9p1/2","7s1/2","0.1102706","0.0221772","0.110(22)","368.7559","0.0007","368.7559(7)","245663.0533","98813.621493","2.46(99)E+05","0.07539317277912588","0.02807051525723933","0.075(28)","","","",""
"9p1/2","8s1/2","0.9770242","0.0287100","0.977(29)","1355.3386","0.0107","1355.34(1)","388422.6269","22827.714041","3.88(23)E+05","0.11920561040964962","0.0074051076272486395","0.1192(74)","","","",""
