"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"7s1/2","6p1/2","25.2819340","0.0235730","25.282(24)","17329.2205","30.1800","17330(30)","124428.7711","690.270861","1.2443(69)E+05","0.03360037390027456","0.0001810982712508096","0.03360(18)","","","",""
"7s1/2","6p3/2","35.7540360","0.0341870","35.754(34)","17329.2205","30.1800","17330(30)","248857.2925","1384.561535","2.489(14)E+05","0.06720068034121587","0.00035006930624509515","0.06720(35)","","","",""
"8s1/2","2p1/2","0.1318972","0.0000659","0.131897(66)","374.7643","0.0141","374.76(1)","334837.3657","336.722786","3.3484(34)E+05","0.13459769693361778","0.00014196136856612263","0.13460(14)","","","",""
"8s1/2","2p3/2","0.1865306","0.0000933","0.186531(93)","374.7690","0.0141","374.77(1)","669647.6316","674.156366","6.6965(67)E+05","0.2691845002979395","0.0002468908972229081","0.26918(25)","","","",""
"8s1/2","3p1/2","0.3869521","0.0001935","0.38695(19)","937.9350","0.0884","937.93(9)","183837.2630","191.068243","1.8384(19)E+05","0.07389877818337057","8.4060110105622e-05","0.073899(84)","","","",""
"8s1/2","3p3/2","0.5472317","0.0002736","0.54723(27)","937.9350","0.0884","937.93(9)","367672.9031","382.070509","3.6767(38)E+05","0.14779690395354636","0.00015738852708248666","0.14780(16)","","","",""
"8s1/2","4p1/2","0.9079916","0.0004540","0.90799(45)","1954.0600","0.3837","1954.1(4)","111940.5036","129.923657","1.1194(13)E+05","0.04499776765349697","5.6904399376862964e-05","0.044998(57)","","","",""
"8s1/2","4p3/2","1.2840930","0.0006420","1.28409(64)","1954.0600","0.3837","1954.1(4)","223880.6463","259.831140","2.2388(26)E+05","0.08999539019765766","0.00010940488031168926","0.09000(11)","","","",""
"8s1/2","5p1/2","2.1136772","0.0010568","2.1137(11)","3888.7204","1.5198","3889(2)","76965.2154","118.599627","7.697(12)E+04","0.03093842503022332","4.9895865341820995e-05","0.030938(50)","","","",""
"8s1/2","5p3/2","2.9891904","0.0014946","2.9892(15)","3888.7204","1.5198","3889(2)","153930.3728","237.203134","1.5393(24)E+05","0.06187682676366615","9.693347209223011e-05","0.061877(97)","","","",""
"8s1/2","6p1/2","5.8948487","0.0029474","5.8948(29)","8359.3868","7.0228","8359(7)","60264.1979","163.403971","6.026(16)E+04","0.024224961354181628","6.576157536986663e-05","0.024225(66)","","","",""
"8s1/2","6p3/2","8.3365760","0.0041683","8.3366(42)","8359.3868","7.0228","8359(7)","120528.4253","326.808517","1.2053(33)E+05","0.04844993456804277","0.00012830526541797552","0.04845(13)","","","",""
"8s1/2","7p1/2","34.6247320","0.0173124","34.625(17)","27045.3009","73.5096","27050(70)","61395.2399","504.370973","6.140(50)E+04","0.024679616840684145","0.00019825401922015013","0.02468(20)","","","",""
"8s1/2","7p3/2","48.9667480","0.0244834","48.967(24)","27045.3009","73.5096","27050(70)","122790.3915","1008.741209","1.228(10)E+05","0.04935919822357308","0.0003861379688313369","0.04936(39)","","","",""
"9s1/2","2p1/2","0.1067949","0.0000534","0.106795(53)","369.0086","0.0137","369.01(1)","229947.6116","231.377250","2.2995(23)E+05","0.13161671594854632","0.00014530702459607586","0.13162(15)","","","",""
"9s1/2","2p3/2","0.1510306","0.0000755","0.151031(76)","369.0132","0.0137","369.01(1)","459876.7200","462.621523","4.5988(46)E+05","0.26322284111196115","0.00025684401150231803","0.26322(26)","","","",""
"9s1/2","3p1/2","0.3016006","0.0001508","0.30160(15)","902.6965","0.0819","902.70(8)","125278.4546","129.835081","1.2528(13)E+05","0.07170650156282458","8.462970674734376e-05","0.071707(85)","","","",""
"9s1/2","3p3/2","0.4265266","0.0002133","0.42653(21)","902.6965","0.0819","902.70(8)","250555.6650","259.710957","2.5056(26)E+05","0.14341229102384676","0.00015964193975880598","0.14341(16)","","","",""
