"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"11s1/2","9p3/2","6.2882028","0.0623161","6.288(62)","6896.3054","0.0053","6896.305(5)","122135.2261","2420.720597","1.221(24)E+05","0.05305003529671549","0.0011110056408347052","0.0531(11)","","","",""
"11s1/2","10p1/2","34.6441290","0.0724450","34.644(72)","24696.3766","0.0328","24696.38(3)","80722.9249","337.602654","8.072(34)E+04","0.03506239885156748","0.0003570586193821042","0.03506(36)","","","",""
"11s1/2","10p3/2","51.7733950","0.1193200","51.77(12)","26451.3107","0.0782","26451.31(8)","146726.6530","676.310938","1.4673(68)E+05","0.0637314423351021","0.0006560851571751769","0.06373(66)","","","",""
"12s1/2","6p1/2","0.2072760","0.0022027","0.2073(22)","540.8172","0.0000","540.8172","275159.0459","5848.171813","2.752(58)E+05","0.17644230807524214","0.0034316796296798395","0.1764(34)","","","",""
"12s1/2","6p3/2","0.2886379","0.0034925","0.2886(35)","557.5225","0.0000","557.5225","487031.2779","11786.094190","4.87(12)E+05","0.312302735694145","0.005461297408449721","0.3123(55)","","","",""
"12s1/2","7p1/2","0.4741238","0.0045778","0.4741(46)","1265.2694","0.0032","1265.269(3)","112427.3123","2171.035455","1.124(22)E+05","0.07209261250789761","0.0014509967206707954","0.0721(15)","","","",""
"12s1/2","7p3/2","0.6449687","0.0073138","0.6450(73)","1294.9332","0.0044","1294.933(4)","194076.3125","4401.563906","1.941(44)E+05","0.12444901606314292","0.0027045737702756194","0.1244(27)","","","",""
"12s1/2","8p1/2","1.0023462","0.0092909","1.0023(93)","2525.2730","0.0001","2525.2730(1)","63204.4715","1171.703797","6.32(12)E+04","0.040529079461830965","0.0008123727464745532","0.04053(81)","","","",""
"12s1/2","8p3/2","1.3481747","0.0150225","1.348(15)","2579.1175","0.0200","2579.12(2)","107328.8048","2391.897497","1.073(24)E+05","0.06882325814133404","0.0015607076341153622","0.0688(16)","","","",""
"12s1/2","9p1/2","2.2357347","0.0198641","2.236(20)","4921.7280","0.0013","4921.728(1)","42474.1807","754.750887","4.247(75)E+04","0.02723603890021637","0.0005340751136628965","0.02724(53)","","","",""
"12s1/2","9p3/2","2.9998406","0.0325687","3.000(33)","5032.3958","0.0028","5032.396(3)","71533.4705","1553.250628","7.15(16)E+04","0.045869946245685744","0.0010401315370330978","0.0459(10)","","","",""
"12s1/2","10p1/2","6.3172382","0.0557880","6.317(56)","10615.8127","0.0061","10615.813(6)","33793.4147","596.864315","3.379(60)E+04","0.02166960589223361","0.0004248513346674933","0.02167(42)","","","",""
"12s1/2","10p3/2","8.5818981","0.0842533","8.582(84)","10927.4522","0.0134","10927.45(1)","57180.4108","1122.744254","5.72(11)E+04","0.03666622562036696","0.0007719295376509955","0.03667(77)","","","",""
"12s1/2","11p1/2","46.4920730","0.0948560","46.492(95)","37681.7864","0.0318","37681.79(3)","40926.1305","167.000072","4.093(17)E+04","0.026243370993948377","0.0002647003458476457","0.02624(26)","","","",""
"12s1/2","11p3/2","69.3741600","0.1670190","69.37(17)","40325.9466","0.4889","40325.9(5)","74349.6752","358.005422","7.435(36)E+04","0.04767580240395623","0.0004930080582783922","0.04768(49)","","","",""
"13s1/2","6p1/2","0.1682726","0.0018008","0.1683(18)","530.2924","0.0000","530.2924","192361.3722","4117.180801","1.924(41)E+05","0.1744464541273607","0.00341573089096108","0.1744(34)","","","",""
"13s1/2","6p3/2","0.2340982","0.0028554","0.2341(29)","546.3442","0.0000","546.3442","340435.2738","8304.881291","3.404(83)E+05","0.3087299996660006","0.005459991079109996","0.3087(55)","","","",""
"13s1/2","7p1/2","0.3687860","0.0035754","0.3688(36)","1209.1255","0.0029","1209.125(3)","77942.0916","1511.305602","7.79(15)E+04","0.07068322167173573","0.0014276314022954844","0.0707(14)","","","",""
"13s1/2","7p3/2","0.5008352","0.0057137","0.5008(57)","1236.1870","0.0040","1236.187(4)","134516.1818","3069.213891","1.345(31)E+05","0.12198847756276197","0.0026690224038118694","0.1220(27)","","","",""
"13s1/2","8p1/2","0.7248791","0.0067556","0.7249(68)","2311.0952","0.0001","2311.0952(1)","43123.5962","803.791327","4.312(80)E+04","0.039107427693593336","0.0007873764946793616","0.03911(79)","","","",""
"13s1/2","8p3/2","0.9718707","0.0109201","0.972(11)","2356.1121","0.0167","2356.11(2)","73158.7814","1644.049079","7.32(16)E+04","0.06634538870747322","0.0015174303031911557","0.0663(15)","","","",""
"13s1/2","9p1/2","1.4171530","0.0128056","1.417(13)","4168.7655","0.0009","4168.7655(9)","28083.3172","507.529852","2.808(51)E+04","0.02546787353224809","0.000506220878418696","0.02547(51)","","","",""
"13s1/2","9p3/2","1.8884974","0.0209552","1.888(21)","4247.8897","0.0020","4247.890(2)","47135.7483","1046.058135","4.71(10)E+04","0.042745921663046846","0.0009891938177016384","0.04275(99)","","","",""
"13s1/2","10p1/2","3.0182264","0.0262741","3.018(26)","7639.5595","0.0031","7639.559(3)","20698.3626","360.364517","2.070(36)E+04","0.01877069140144832","0.00036439124745148496","0.01877(36)","","","",""
"13s1/2","10p3/2","4.0252407","0.0435153","4.025(44)","7799.6343","0.0068","7799.634(7)","34593.8029","747.960103","3.459(75)E+04","0.03137202750105766","0.0007176331617169985","0.03137(72)","","","",""
"13s1/2","11p1/2","8.2877860","0.0731753","8.288(73)","15813.6469","0.0056","15813.647(6)","17596.1743","310.723596","1.760(31)E+04","0.0159574148053021","0.00031391566113888415","0.01596(31)","","","",""
"13s1/2","11p3/2","11.2172450","0.1093390","11.22(11)","16261.1065","0.0795","16261.11(8)","29645.5449","577.934270","2.965(58)E+04","0.02688460850546064","0.0005669593071037896","0.02688(57)","","","",""
"13s1/2","12p1/2","60.0452890","0.1202980","60.05(12)","54538.4736","0.0665","54538.47(7)","22515.7414","90.218561","2.2516(90)E+04","0.020418814928018877","0.00020471511807733373","0.02042(20)","","","",""
"13s1/2","12p3/2","89.4969260","0.2243500","89.50(22)","58328.3220","1.0229","58328(1)","40889.8108","205.015626","4.089(21)E+04","0.03708167823449175","0.0003860620059067031","0.03708(39)","","","",""
"14s1/2","6p1/2","0.1404974","0.0015125","0.1405(15)","523.0296","0.0000","523.0296","139763.9276","3009.207864","1.398(30)E+05","0.1731210479313384","0.0034089780980606065","0.1731(34)","","","",""
"14s1/2","6p3/2","0.1953286","0.0023983","0.1953(24)","538.6382","0.0000","538.6382","247330.4383","6073.586666","2.473(61)E+05","0.3063601989531069","0.005465115097366726","0.3064(55)","","","",""
"14s1/2","7p1/2","0.2991624","0.0029107","0.2992(29)","1172.0173","0.0027","1172.017(3)","56318.2611","1095.896900","5.63(11)E+04","0.06975960498826535","0.0014134003925871624","0.0698(14)","","","",""
"14s1/2","7p3/2","0.4058443","0.0046523","0.4058(47)","1197.4258","0.0037","1197.426(4)","97187.4911","2228.171750","9.72(22)E+04","0.1203829957211968","0.002647764680219115","0.1204(26)","","","",""
"14s1/2","8p1/2","0.5614223","0.0052483","0.5614(52)","2179.2144","0.0001","2179.2144(1)","30854.3763","576.867087","3.085(58)E+04","0.038218316112413504","0.0007715211948725671","0.03822(77)","","","",""
"14s1/2","8p3/2","0.7513081","0.0084839","0.7513(85)","2219.1957","0.0148","2219.20(1)","52322.2795","1181.664782","5.23(12)E+04","0.0648099121075756","0.0014901001535297439","0.0648(15)","","","",""
"14s1/2","9p1/2","1.0174364","0.0092454","1.0174(92)","3758.4822","0.0008","3758.4822(8)","19752.1495","358.973834","1.975(36)E+04","0.024466347471568187","0.0004886012953263782","0.02447(49)","","","",""
"14s1/2","9p3/2","1.3510880","0.0151221","1.351(15)","3822.6783","0.0016","3822.678(2)","33105.5889","741.070940","3.311(74)E+04","0.04100682021040736","0.0009570332088770305","0.04101(96)","","","",""
"14s1/2","10p1/2","1.8942192","0.0167930","1.894(17)","6366.0499","0.0022","6366.050(2)","14089.2431","249.813390","1.409(25)E+04","0.01745188887418752","0.0003438036423631934","0.01745(34)","","","",""
"14s1/2","10p3/2","2.5077401","0.0277540","2.508(28)","6476.8173","0.0047","6476.817(5)","23448.6268","519.027622","2.345(52)E+04","0.02904505411778047","0.0006787899367070135","0.02905(68)","","","",""
"14s1/2","11p1/2","3.9095425","0.0337382","3.910(34)","11182.9054","0.0028","11182.905(3)","11071.9786","191.095828","1.107(19)E+04","0.013714501155518855","0.00026536831858632186","0.01371(27)","","","",""
"14s1/2","11p3/2","5.1905833","0.0559473","5.191(56)","11404.8350","0.0391","11404.84(4)","18399.3558","396.639197","1.840(40)E+04","0.02279068580810721","0.000523797902402532","0.02279(52)","","","",""
"14s1/2","12p1/2","10.5166720","0.0929230","10.517(93)","22461.1288","0.0113","22461.13(1)","9887.7901","174.732676","9.89(17)E+03","0.012247685116054622","0.0002416614369407022","0.01225(24)","","","",""
"14s1/2","12p3/2","14.1936950","0.1377900","14.19(14)","23078.6930","0.1601","23078.7(2)","16603.3077","322.364414","1.660(32)E+04","0.020565979202341177","0.00043439924899956356","0.02057(43)","","","",""
"14s1/2","13p1/2","75.3045000","0.1527740","75.30(15)","75770.8357","0.1284","75770.8(1)","13206.0501","53.583589","1.3206(54)E+04","0.016357906245399585","0.00016407735849778505","0.01636(16)","","","",""
"14s1/2","13p3/2","112.1406400","0.2891900","112.14(29)","80993.2363","1.9723","80993(2)","23978.2296","123.683257","2.398(12)E+04","0.02970105598473863","0.00031109847751587775","0.02970(31)","","","",""
"6p1/2","6s1/2","4.4978","0.0061","4.4978(61)","894.5930","0.0000","894.5930","28626032.2475","77646.314514","2.8626(78)E+07","1.0","0.0","1.0","R. J. Rafac, C. E. Tanner, A. E. Livingston, K. W. Kukla, H. G. Berry, and C. A. Kurtz, Phys. Rev. A 50, R1976 (1994)","https://doi.org/10.1103/PhysRevA.50.R1976","",""
"6p3/2","6s1/2","6.3349","0.0048","6.3349(48)","852.3473","0.0000","852.3473","32827447.1000","49747.192878","3.2827(50)E+07","1.0","0.0","1.0","B. M. Patterson, J. F. Sell, T. Ehrenreich, M. A. Gearba, G. M. Brooke, J. Scoville, and R. J.  Knize, Phys. Rev. A 91, 012506 (2015)","https://doi.org/10.1103/PhysRevA.91.012506","",""
"7p1/2","6s1/2","0.2781","0.00045","0.27810(45)","459.4459","0.0004","459.4459(4)","807860.0557","2614.434786","8.079(26)E+05","0.124992180109211","0.015228489382810038","0.125(15)","Amy Damitz, George Toh, Eric Putney, Carol E. Tanner, and D. S. Elliott, Phys. Rev. A 99, 062510 (2019)","https://doi.org/10.1103/PhysRevA.99.062510","",""
"7p1/2","7s1/2","10.308","0.015","10.308(15)","3096.1483","0.0194","3096.15(2)","3626776.9552","10555.449649","3.627(11)E+06","0.561135255050906","0.06834573789485716","0.561(68)","S. C. Bennett, J. L. Roberts, and C. E. Wieman, Phys. Rev. A 59, R16 (1999)","https://doi.org/10.1103/PhysRevA.59.R16","M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999)","https://doi.org/10.1103/PhysRevA.60.4476"
"7p1/2","5d3/2","2.2847222","0.4432693","2.28(44)","1376.2558","0.0038","1376.256(4)","2028647.7721","787174.281493","2.03(79)E+06","0.31387256483988296","0.08356627838971431","0.314(84)","","","",""
"7p3/2","6s1/2","0.57417","0.00057","0.57417(57)","455.6557","0.0005","455.6557(5)","1765135.3125","3504.637094","1.7651(35)E+06","0.23074913858105067","0.01854599533713859","0.231(19)","Amy Damitz, George Toh, Eric Putney, Carol E. Tanner, and D. S. Elliott, Phys. Rev. A 99, 062510 (2019)","https://doi.org/10.1103/PhysRevA.99.062510","",""
"7p3/2","7s1/2","14.32","0.02","14.320(20)","2931.8047","0.0225","2931.80(2)","4121812.5975","11513.833974","4.122(12)E+06","0.5388282130682308","0.04329807985749038","0.539(43)","S. C. Bennett, J. L. Roberts, and C. E. Wieman, Phys. Rev. A 59, R16 (1999)","https://doi.org/10.1103/PhysRevA.59.R16","M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999)","https://doi.org/10.1103/PhysRevA.60.4476"
"7p3/2","5d3/2","0.9146687","0.1928229","0.91(19)","1342.7973","0.0047","1342.797(5)","175026.3923","73795.236572","1.75(74)E+05","0.022880506081532238","0.009601345293798694","0.0229(96)","","","",""
"7p3/2","5d5/2","2.8098097","0.5399365","2.81(54)","1360.6267","0.0048","1360.627(5)","1587611.4052","610154.734552","1.59(61)E+06","0.20754214226918627","0.06324144631005398","0.208(63)","","","",""
