"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"8s1/2","7p1/2","33.4807650","0.0167404","33.481(17)","23346.4852","1.5417","23346(2)","89240.8167","90.975150","8.9241(91)E+04","0.03660500037854011","3.884560131315433e-05","0.036605(39)","","","",""
"8s1/2","7p3/2","47.4110100","0.0237055","47.411(24)","23387.4363","1.5471","23387(2)","178011.4241","181.482763","1.7801(18)E+05","0.07301712923962954","7.484167996419295e-05","0.073017(75)","","","",""
"9s1/2","3p1/2","0.1443261","0.0000722","0.144326(72)","442.1125","0.0004","442.1125(4)","244190.5322","244.316425","2.4419(24)E+05","0.15086225557207833","0.00013936118837793162","0.15086(14)","","","",""
"9s1/2","3p3/2","0.2040038","0.0001020","0.20400(10)","442.4488","0.0004","442.4488(4)","486770.9823","486.763630","4.8677(49)E+05","0.3007297935187486","0.00022360902537620582","0.30073(22)","","","",""
"9s1/2","4p1/2","0.3697550","0.0001849","0.36976(18)","1074.3608","0.0033","1074.361(3)","111690.1694","111.708403","1.1169(11)E+05","0.06900280170674879","6.957388450174545e-05","0.069003(70)","","","",""
"9s1/2","4p3/2","0.5222714","0.0002611","0.52227(26)","1075.0064","0.0033","1075.006(3)","222431.6698","222.410516","2.2243(22)E+05","0.13741951054957244","0.00012886463913966515","0.13742(13)","","","",""
"9s1/2","5p1/2","0.8217556","0.0004109","0.82176(41)","2205.3294","0.0138","2205.33(1)","63782.6053","63.797217","6.3783(64)E+04","0.03940524482074264","4.087440382060854e-05","0.039405(41)","","","",""
"9s1/2","5p3/2","1.1603560","0.0005802","1.16036(58)","2206.5313","0.0138","2206.53(1)","126966.6086","126.993675","1.2697(13)E+05","0.07844067001540905","7.835525056781768e-05","0.078441(78)","","","",""
"9s1/2","6p1/2","1.8905970","0.0009453","1.89060(95)","4388.7945","0.0545","4388.79(5)","42835.0712","42.864831","4.2835(43)E+04","0.02646374289111714","2.7789879155624824e-05","0.026464(28)","","","",""
"9s1/2","6p3/2","2.6694854","0.0013347","2.6695(13)","4391.2807","0.0545","4391.28(5)","85254.7965","85.311234","8.5255(85)E+04","0.0526708827832367","5.397643160319449e-05","0.052671(54)","","","",""
"9s1/2","7p1/2","5.5246607","0.0027623","5.5247(28)","9664.9173","0.2642","9664.9(3)","34249.4896","34.364095","3.4249(34)E+04","0.02115952328719175","2.2377593397813284e-05","0.021160(22)","","","",""
"9s1/2","7p3/2","7.8034648","0.0039017","7.8035(39)","9671.9282","0.2646","9671.9(3)","68182.5236","68.411190","6.8183(68)E+04","0.04212353858502871","4.3700013370321694e-05","0.042124(44)","","","",""
"9s1/2","8p1/2","45.4165450","0.0227083","45.417(23)","36166.3653","3.6996","36166(4)","44172.3906","46.205648","4.4172(46)E+04","0.027289946171705562","2.975485013356294e-05","0.027290(30)","","","",""
"9s1/2","8p3/2","64.3125510","0.0321563","64.313(32)","36230.5714","3.7127","36231(4)","88105.5437","92.175102","8.8106(92)E+04","0.05443209009842017","5.785453941291741e-05","0.054432(58)","","","",""
"10s1/2","3p1/2","0.1166012","0.0000583","0.116601(58)","434.2709","0.0004","434.2709(4)","168174.8624","168.173702","1.6817(17)E+05","0.14922771606296756","0.00013761929512128745","0.14923(14)","","","",""
"10s1/2","3p3/2","0.1648113","0.0000824","0.164811(82)","434.5955","0.0004","434.5955(4)","335239.8906","335.218045","3.3524(34)E+05","0.29747063567051807","0.00022139937704192673","0.29747(22)","","","",""
"10s1/2","4p1/2","0.2863996","0.0001432","0.28640(14)","1029.2005","0.0030","1029.200(3)","76222.3247","76.225338","7.6222(76)E+04","0.06763486097034357","6.80977618238818e-05","0.067635(68)","","","",""
"10s1/2","4p3/2","0.4045163","0.0002023","0.40452(20)","1029.7929","0.0030","1029.793(3)","151795.7576","151.832960","1.5180(15)E+05","0.13469393641059246","0.00012634741564366444","0.13469(13)","","","",""
"10s1/2","5p1/2","0.5914557","0.0002957","0.59146(30)","2023.1079","0.0116","2023.11(1)","42798.1101","42.800386","4.2798(43)E+04","0.037976330887548884","3.9339557166430855e-05","0.037976(39)","","","",""
"10s1/2","5p3/2","0.8350912","0.0004175","0.83509(42)","2024.1194","0.0116","2024.12(1)","85191.5930","85.194855","8.5192(85)E+04","0.07559362127409028","7.551095949169715e-05","0.075594(76)","","","",""
"10s1/2","6p1/2","1.1889392","0.0005945","1.18894(59)","3721.6919","0.0392","3721.69(4)","27780.1994","27.795468","2.7780(28)E+04","0.02465038858750148","2.5861547216380274e-05","0.024650(26)","","","",""
"10s1/2","6p3/2","1.6784521","0.0008392","1.67845(84)","3723.4795","0.0392","3723.48(4)","55285.1265","55.310998","5.5285(55)E+04","0.04905651796391981","5.030787645869734e-05","0.049057(50)","","","",""
"10s1/2","7p1/2","2.5875819","0.0012938","2.5876(13)","6929.5747","0.1358","6929.6(1)","20384.7680","20.420119","2.0385(20)E+04","0.0180881513576943","1.9109392754795127e-05","0.018088(19)","","","",""
"10s1/2","7p3/2","3.6531277","0.0018266","3.6531(18)","6933.1780","0.1360","6933.2(1)","40566.7264","40.637667","4.0567(41)E+04","0.0359963423602438","3.7411826222903446e-05","0.035996(37)","","","",""
"10s1/2","8p1/2","7.3187405","0.0036594","7.3187(37)","14600.2453","0.6029","14600.2(6)","17435.3051","17.568735","1.7435(18)E+04","0.015470984960165655","1.6466851231808637e-05","0.015471(16)","","","",""
"10s1/2","8p3/2","10.3362280","0.0051681","10.3362(52)","14610.6980","0.6038","14610.7(6)","34701.5269","34.967098","3.4702(35)E+04","0.030791936016330256","3.2320841105698344e-05","0.030792(32)","","","",""
